gameTime,squadName,playerName,playerId,duelType
00:00.0000,1. FC Magdeburg,Martijn Kaars,13102,
00:00.9830,1. FC Magdeburg,Max Geschwill,46354,
00:00.9831,1. FC Magdeburg,Max Geschwill,46354,
00:02.5350,1. FC Magdeburg,Max Geschwill,46354,
00:03.1280,1. FC Magdeburg,Rayan Ghrieb,91255,
00:03.1281,1. FC Magdeburg,Rayan Ghrieb,91255,
00:03.9720,1. FC Magdeburg,Rayan Ghrieb,91255,
00:05.2540,1. FC Magdeburg,Silas Gnaka,15525,
00:05.2541,1. FC Magdeburg,Silas Gnaka,15525,
00:06.7970,1. FC Magdeburg,Silas Gnaka,15525,
00:09.8760,1. FC Magdeburg,Jean Hugonet,52701,
00:09.8761,1. FC Magdeburg,Jean Hugonet,52701,
00:11.3390,1. FC Magdeburg,Lubambo Musonda,34824,
00:11.3391,1. FC Magdeburg,Lubambo Musonda,34824,
00:12.4210,1. FC Magdeburg,Lubambo Musonda,34824,
00:13.5210,1. FC Magdeburg,Laurin Ulrich,104856,
00:13.5211,1. FC Magdeburg,Laurin Ulrich,104856,
00:14.4770,Hannover 96,Noel Aseko,109693,
00:38.5490,1. FC Magdeburg,Jean Hugonet,52701,
00:40.0110,1. FC Magdeburg,Dominik Reimann,15833,
00:40.0111,1. FC Magdeburg,Dominik Reimann,15833,
00:40.8380,1. FC Magdeburg,Dominik Reimann,15833,
00:41.9840,1. FC Magdeburg,Andi Hoti,99631,
00:41.9841,1. FC Magdeburg,Andi Hoti,99631,
00:43.6260,1. FC Magdeburg,Andi Hoti,99631,
00:45.3410,1. FC Magdeburg,Dominik Reimann,15833,
00:45.3411,1. FC Magdeburg,Dominik Reimann,15833,
00:46.4260,1. FC Magdeburg,Dominik Reimann,15833,
00:47.7980,1. FC Magdeburg,Silas Gnaka,15525,
00:47.7981,1. FC Magdeburg,Silas Gnaka,15525,
00:48.5020,1. FC Magdeburg,Silas Gnaka,15525,
00:50.3090,1. FC Magdeburg,Dominik Reimann,15833,
00:50.3091,1. FC Magdeburg,Dominik Reimann,15833,
00:59.9940,1. FC Magdeburg,Dominik Reimann,15833,
01:00.9430,1. FC Magdeburg,Silas Gnaka,15525,
01:00.9431,1. FC Magdeburg,Silas Gnaka,15525,
01:01.9140,1. FC Magdeburg,Marcus Mathisen,32965,
01:01.9141,1. FC Magdeburg,Marcus Mathisen,32965,
01:02.9460,Hannover 96,Mustapha Bundu,13600,
01:02.9461,Hannover 96,Mustapha Bundu,13600,
01:06.5750,Hannover 96,Mustapha Bundu,13600,
01:07.3440,1. FC Magdeburg,Silas Gnaka,15525,
01:07.3441,1. FC Magdeburg,Silas Gnaka,15525,
01:08.9650,1. FC Magdeburg,Silas Gnaka,15525,
01:11.3340,1. FC Magdeburg,Rayan Ghrieb,91255,
01:11.3341,1. FC Magdeburg,Rayan Ghrieb,91255,
01:11.5260,Hannover 96,Virgil Ghiță,2195,
01:11.5261,Hannover 96,Virgil Ghiță,2195,
01:13.4260,1. FC Magdeburg,Laurin Ulrich,104856,
01:13.4261,1. FC Magdeburg,Laurin Ulrich,104856,
01:15.7030,1. FC Magdeburg,Laurin Ulrich,104856,
01:16.3670,1. FC Magdeburg,Jean Hugonet,52701,
01:16.3671,1. FC Magdeburg,Jean Hugonet,52701,
01:17.2220,Hannover 96,Noel Aseko,109693,
01:42.3409,1. FC Magdeburg,Max Geschwill,46354,
01:42.3410,1. FC Magdeburg,Dominik Reimann,15833,
01:42.3411,1. FC Magdeburg,Dominik Reimann,15833,
01:47.6660,1. FC Magdeburg,Dominik Reimann,15833,
01:49.2810,1. FC Magdeburg,Andi Hoti,99631,
01:49.2811,1. FC Magdeburg,Andi Hoti,99631,
01:50.9960,1. FC Magdeburg,Andi Hoti,99631,
01:53.8800,1. FC Magdeburg,Baris Atik,1164,AERIAL_DUEL
01:53.8801,1. FC Magdeburg,Baris Atik,1164,
01:56.5940,1. FC Magdeburg,Baris Atik,1164,
02:01.0570,Hannover 96,Hayate Matsuda,147366,
02:03.3590,Hannover 96,Ime Okon,168870,
02:03.3591,Hannover 96,Ime Okon,168870,
02:04.4750,Hannover 96,Ime Okon,168870,
02:06.9820,Hannover 96,Nahuel Noll,81122,
02:06.9821,Hannover 96,Nahuel Noll,81122,
02:10.5080,Hannover 96,Nahuel Noll,81122,
02:11.5880,Hannover 96,Virgil Ghiță,2195,
02:11.5881,Hannover 96,Virgil Ghiță,2195,
02:15.1640,Hannover 96,Virgil Ghiță,2195,
02:16.1280,Hannover 96,Enzo Leopold,94860,
02:16.1281,Hannover 96,Enzo Leopold,94860,
02:16.5670,Hannover 96,Enzo Leopold,94860,
02:17.6250,Hannover 96,Boris Tomiak,15582,
02:17.6251,Hannover 96,Boris Tomiak,15582,
02:19.4480,Hannover 96,Boris Tomiak,15582,
02:20.2520,Hannover 96,Benedikt Pichler,46600,
02:20.2521,Hannover 96,Benedikt Pichler,46600,
02:21.1870,Hannover 96,Benedikt Pichler,46600,
02:23.3560,Hannover 96,Mustapha Bundu,13600,
02:23.3561,Hannover 96,Mustapha Bundu,13600,
02:24.7530,Hannover 96,Mustapha Bundu,13600,
02:24.9620,Hannover 96,Noel Aseko,109693,
02:45.7670,1. FC Magdeburg,Dominik Reimann,15833,
02:46.9890,1. FC Magdeburg,Andi Hoti,99631,
02:46.9891,1. FC Magdeburg,Andi Hoti,99631,
02:47.7650,1. FC Magdeburg,Andi Hoti,99631,
02:49.5140,1. FC Magdeburg,Dominik Reimann,15833,
02:49.5141,1. FC Magdeburg,Dominik Reimann,15833,
02:54.0430,1. FC Magdeburg,Dominik Reimann,15833,
02:55.3530,1. FC Magdeburg,Andi Hoti,99631,
02:55.3531,1. FC Magdeburg,Andi Hoti,99631,
02:56.8770,1. FC Magdeburg,Andi Hoti,99631,
02:58.2840,1. FC Magdeburg,Laurin Ulrich,104856,
02:58.2841,1. FC Magdeburg,Laurin Ulrich,104856,
02:59.6350,1. FC Magdeburg,Laurin Ulrich,104856,
